Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
2016-08-07,136,25130,25039877,1006,970,972
2016-08-08,76,16460,15371467,965,901,905
2016-08-09,16,3567,3473347,995,923,995
2016-08-10,191,53909,53784988,1020,936,1010
2016-08-11,145,33089,33098281,1020,992,1020
2016-08-14,94,20556,20035729,1001,955,968
2016-08-15,144,27993,27328435,1006,946,970
2016-08-16,141,30158,29962681,1001,970,985
2016-08-17,123,16569,16601481,1010,972,1000
2016-08-21,74,8813,8816939,1013,985,995
2016-08-22,64,6697,6511253,1000,962,964
2016-08-23,80,12823,12308227,983,948,970
2016-08-24,68,7338,7059284,984,951,970
2016-08-28,57,5090,4924410,980,958,965
2016-08-29,82,14088,13758972,995,965,983
2016-08-30,82,16862,16755667,1002,983,999
2016-08-31,81,19708,19578397,1005,985,999
2016-09-01,115,15887,15973715,1010,990,998
2016-09-04,85,13611,13681335,1029,989,1020
2016-09-05,159,34803,36427617,1056,1020,1043
2016-09-06,106,25608,26702176,1055,1011,1028
2016-09-07,278,62511,65481612,1065,1011,1065
2016-09-08,90,15717,16504253,1058,1040,1054
2016-09-11,151,29449,30976283,1075,1042,1050
2016-09-12,161,29095,30665683,1060,1048,1050
2016-09-14,95,11695,12301220,1059,1046,1050
2016-09-18,105,11307,11817951,1052,1035,1050
2016-09-20,254,42584,44752147,1071,1040,1044
2016-09-21,169,24012,24686690,1045,1020,1025
2016-09-22,248,31362,31848766,1032,997,1019
2016-09-25,762,114461,114824129,1020,990,995
2016-09-26,61,10691,7175950,690,659,675
2016-09-27,48,4456,3015421,684,672,672
2016-09-28,18,1414,952154,677,670,672
2016-09-29,29,3261,2179255,670,660,670
2016-10-02,35,4644,3147376,684,670,680
2016-10-03,24,2351,1602075,690,670,672
2016-10-04,26,7550,5062162,680,667,668
2016-10-05,13,1002,674106,680,667,680
2016-10-06,18,2238,1518931,690,670,683
2016-10-16,15,1795,1231305,703,679,683
2016-10-17,26,3931,2631477,683,660,669
2016-10-18,19,1206,804747,675,661,670
2016-10-19,29,3950,2620054,670,660,665
2016-10-20,23,2944,1967195,677,661,669
2016-10-23,38,6226,4100594,665,655,655
2016-10-24,34,7673,5004546,661,649,653
2016-10-25,32,3856,2481779,650,640,645
2016-10-26,26,4364,2809908,650,640,642
2016-10-27,21,2964,1899283,645,630,638
2016-11-03,9,906,577224,650,626,645
2016-11-07,23,1784,1127016,646,615,625
2016-11-08,45,5340,3293823,630,605,610
2016-11-09,53,5406,3247293,613,594,600
2016-11-10,50,4874,2927348,607,596,600
2016-11-13,37,7038,4235385,610,598,600
2016-11-14,51,6752,4045871,609,595,600
2016-11-15,41,7995,4812885,612,590,596
2016-11-16,39,4803,2861582,600,588,595
2016-11-17,41,5087,2979229,595,580,580
2016-11-20,34,6046,3314277,571,530,556
2016-11-21,54,6653,3669875,565,541,555
2016-11-22,44,6174,3389711,560,538,550
2016-11-23,64,9827,5206229,540,520,525
2016-11-24,62,10536,5553951,540,523,527
2016-11-27,95,14556,7400232,528,500,502
2016-11-28,96,20030,9903603,535,480,525
2016-11-29,71,6827,3685039,560,505,555
2016-11-30,108,17082,9590594,589,550,576
2016-12-01,91,12639,7301002,590,556,575
2016-12-04,43,3739,2095270,571,558,558
2016-12-05,31,3418,1858251,558,530,545
2016-12-06,37,3030,1658237,555,540,550
2016-12-07,24,1850,1014612,553,543,550
2016-12-08,32,4444,2408365,550,540,540
2016-12-11,27,3290,1755127,541,529,530
2016-12-12,11,1484,775586,530,515,525
2016-12-14,30,5246,2776288,535,525,530
2016-12-15,27,4365,2336919,542,530,542
2016-12-18,52,6847,3651601,540,525,540
2016-12-19,53,6963,3662720,535,520,520
2016-12-20,47,9974,5158258,530,505,520
2016-12-21,32,6654,3429880,525,500,511
2016-12-22,46,8026,4103396,513,506,513
2016-12-26,57,7763,3894717,510,497,497
2016-12-27,54,10568,5233623,506,483,495
2016-12-28,30,5725,2863189,505,495,498
2016-12-29,115,19494,10089179,526,502,526
2017-01-01,125,18373,10076866,555,535,545
2017-01-02,138,19457,10709727,560,545,545
2017-01-03,78,8202,4415197,550,530,530
2017-01-04,39,6130,3225775,535,510,530
2017-01-05,37,8287,4378949,533,520,528
2017-01-08,26,5593,2926079,529,520,524
2017-01-09,35,5545,2947042,540,521,540
2017-01-10,41,4148,2249676,550,540,540
2017-01-11,32,8359,4558612,550,540,540
2017-01-12,30,5428,2925146,546,531,542
2017-01-15,21,2339,1253888,542,530,534
2017-01-16,25,2058,1091490,536,527,527
2017-01-17,24,3270,1719022,529,523,523
2017-01-18,21,3386,1783070,530,520,520
2017-01-19,22,1913,1002025,529,521,528
2017-01-22,32,2773,1466139,531,526,526
2017-01-23,28,2679,1395359,524,520,520
2017-01-24,40,7839,4008784,530,500,508
2017-01-25,148,25727,12653108,505,480,490
2017-01-26,159,33136,15482268,490,455,460
2017-01-30,69,12799,5774559,465,442,442
2017-01-31,37,11409,5152834,464,435,458
2017-02-01,60,9886,4711204,485,465,483
2017-02-02,94,15620,7632898,500,480,483
2017-02-05,27,3121,1489850,492,470,470
2017-02-06,47,5122,2362049,468,455,455
2017-02-07,35,4245,1938381,463,451,455
2017-02-08,77,9700,4386164,460,448,450
2017-02-09,78,12428,5537810,453,440,445
2017-02-12,75,11551,4886512,453,416,429
2017-02-13,58,11039,4662838,443,413,440
2017-02-14,82,13085,5708474,447,424,437
2017-02-15,47,12899,5819825,456,442,453
2017-02-16,98,16259,7356534,460,450,453
2017-02-19,118,23260,10365716,452,441,445
2017-02-20,98,17150,7643190,455,440,440
2017-02-21,98,18863,8376472,465,437,439
2017-02-22,102,22813,9908821,442,430,434
2017-02-23,69,14367,6260776,442,427,440
2017-02-26,40,6391,2788327,445,430,434
2017-02-28,91,16732,7032221,426,417,421
2017-03-01,55,5008,2135041,430,421,430
2017-03-02,57,5828,2521303,435,425,435
2017-03-05,79,12347,5458931,448,432,443
2017-03-06,75,9615,4316175,456,446,449
2017-03-07,48,5596,2467237,443,439,439
2017-03-09,37,3547,1583560,452,444,445
2017-03-13,34,5870,2600359,450,440,440
2017-03-14,67,9273,4113210,450,440,441
2017-03-15,36,3091,1376749,449,443,448
2017-03-16,49,9046,4012644,452,441,445
2017-03-19,67,10196,4592620,454,445,451
2017-03-20,88,16216,7455757,465,455,461
2017-03-21,126,26819,12587312,484,460,484
2017-03-22,207,46018,23059369,515,485,492
2017-03-23,238,42052,21317008,514,493,511
2017-03-26,330,86224,47708756,562,512,562
2017-03-28,275,63335,37423649,606,573,595
2017-03-29,535,122754,70858145,615,550,565
2017-03-30,695,151987,86067068,577,555,574
2017-04-03,334,86048,43752580,525,487,504
2017-04-04,165,38622,19049502,508,480,495
2017-04-06,163,42085,20121788,495,474,482
2017-04-09,130,26361,12443931,485,470,472
2017-04-10,109,24705,11622539,485,467,471
2017-04-11,125,29427,14275730,494,470,489
2017-04-12,167,43976,21570036,500,480,480
2017-04-13,130,25576,12157715,482,468,472
2017-04-16,90,14433,6817342,481,457,460
2017-04-18,121,26897,12146144,460,443,450
2017-04-19,96,15551,7173984,469,453,463
2017-04-20,139,32994,15564848,483,463,465
2017-04-23,147,45549,21857591,511,472,472
2017-04-24,116,23133,10859181,474,466,469
2017-04-25,100,17195,8041381,472,464,469
2017-04-26,53,9098,4257990,472,465,467
2017-04-27,71,15743,7381184,475,463,466
2017-04-30,97,18728,8571257,470,454,459
2017-05-02,99,22562,10244556,468,445,461
2017-05-03,69,13689,6359865,478,457,461
2017-05-04,68,10579,4862372,478,454,460
2017-05-07,57,5619,2567369,464,453,454
2017-05-08,74,16791,7593535,465,446,460
2017-05-09,69,21081,9605186,461,452,457
2017-05-11,76,12423,5755865,466,461,464
2017-05-15,48,10542,4873562,471,460,465
2017-05-16,55,7225,3308817,465,455,456
2017-05-17,41,4811,2194661,460,454,455
2017-05-18,49,6117,2771963,458,450,451
2017-05-21,72,10460,4687103,460,444,450
2017-05-22,32,3174,1418900,450,441,448
2017-05-23,46,6912,3118403,455,443,450
2017-05-24,52,11662,5282774,456,448,455
2017-05-28,72,9086,4093677,455,445,450
2017-05-30,43,7182,3193641,450,441,444
2017-05-31,79,8727,3874255,455,439,450
2017-06-01,99,14518,6514331,459,444,446
2017-06-04,71,10779,4796056,450,440,445
2017-06-05,73,12176,5438368,450,443,443
2017-06-06,88,10899,4918322,458,448,454
2017-06-07,72,14334,6502554,463,450,453
2017-06-08,45,6842,3058885,452,444,449
2017-06-11,52,7886,3493484,448,440,444
2017-06-12,89,9184,4039315,446,434,445
2017-06-13,73,13963,6114368,444,435,435
2017-06-14,63,8869,3869751,440,434,435
2017-06-15,97,15064,6569564,442,432,440
2017-06-18,137,19261,8290076,440,428,431
2017-06-19,125,21359,9040694,431,417,427
2017-06-20,98,12740,5380466,429,415,423
2017-06-21,54,6334,2673676,425,417,421
2017-06-22,105,16465,6949115,429,420,421
2017-06-25,75,10516,4451695,426,419,423
2017-06-27,82,11352,4795475,425,420,422
2017-06-28,61,10162,4287790,428,415,428
2017-07-02,94,14946,6315356,430,419,428
2017-07-03,51,7794,3311499,430,420,423
2017-07-04,80,13712,5768673,426,419,420
2017-07-05,73,11348,4786382,425,419,425
2017-07-06,93,18660,7970364,437,425,437
2017-07-09,95,20091,8794058,446,430,441
2017-07-10,81,12785,5585373,440,430,433
2017-07-11,68,9864,4318391,440,430,435
2017-07-12,63,8794,3825056,440,432,432
2017-07-13,84,12875,5549593,437,430,435
2017-07-16,47,4465,1927023,435,430,433
2017-07-17,74,16129,7096066,448,433,448
